project_id,dim,cost_personnel_senior_staff,cost_personnel_postdocs,cost_personnel_other,cost_personnel_students,cost_travel,cost_equipment,cost_publication,cost_social,cost_other,cost_subcontracting
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,NA,13500,NA,5600,NA,NA,4900,NA,6000
2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,NA,26905,NA,3000,NA,NA,NA,NA,NA
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,106030,NA,NA,2970,NA,NA,NA,NA,NA
4,2,NA,NA,3500,NA,NA,NA,NA,NA,NA,NA
4,3,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA
4,4,NA,NA,8000,NA,11000,NA,NA,6000,2000,NA
4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,NA,42000,NA,NA,600,NA,6000,NA,NA
5,2,NA,NA,71400,NA,NA,NA,NA,NA,NA,NA
5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000
5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000
5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
